#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142
#Sectors = s0001-s0001
#Created Date = 2018-11-14
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00206594720-01,206594720,1,1,5132,4.63804,20.4749,0.00574672,2.63358,0.42837,0.0326389,27.9329,0.139676,0.73911,869.207,118.218,2.61416,1327,0.00343252,0.480188,0.92123,4.02875,2.10417,2,3.81966,8.74861,6.47214,520.921,17.4023
00206609630-01,206609630,1,2,3332,4.94964,0.335265,3.34211e-006,5.14323,1.05982,0.156519,2.81431,0.00628547,0.301,18084.2,332.497,0.706313,1325.49,0.000139508,0.353157,0.90022,3.49614,-0.06042,83,199.574,61.092,9.62399,1017.45,253.26
00206609630-02,206609630,2,2,3332,4.94964,0.67025,0.000131129,1.23536,0.948718,0.0375946,2.93553,0.00997479,0.301,1655.97,338.096,1.82842,1325.76,0.0126537,0.070712,0.164321,3.79482,0.34126,41,37.9363,7.33924,3.00665,807.659,100.562
00207080123-01,207080123,1,1,3218,4.438,11.4225,0.00323216,7.24729,1.47323,0.0663855,37.0028,0.0993105,1,5253.23,541.61,2.51513,1334.67,0.00223246,0.15661,0.00187234,4.32103,-1.19305,2,2.82319,10.2061,9.04615,450.589,9.74187
00207080350-01,207080350,1,3,6978,4.438,9.10694,-1,58.0129,-1,0.254888,19.3532,0.139354,2.08484,0,0,4.5,1332.79,-1,0.922489,0.1,2126.77,6.225,0,1936.29,5648.65,3298.59,1190.97,475.467
00207080350-02,207080350,2,3,6978,4.438,9.10694,-1,54.1549,-1,0.237937,24.5375,0.139354,2.08484,0,0,3.5,1329.9,-1,0.678812,0.1,246.364,0.50833,0,830.723,3520.61,2535.02,1190.97,475.467
00207080350-03,207080350,3,3,6978,4.438,17.5881,0.00302388,34.5885,5.4308,0.15197,3.93111,0.216114,2.08484,23081.3,523.803,30.4606,1329.64,0.00226862,8.61551,0.758538,19.8556,1.96806,2,1487.18,598.404,496.067,956.352,197.694
00207081058-01,207081058,1,1,6053,4.3135,14.775,0.000524066,14.7852,2.18026,0.110476,22.9987,0.122738,1.22591,14110.9,92.5542,5.45086,1336.14,0.000368452,0.54286,0.0236743,3.59406,-0.54444,2,0.13892,160.621,114.412,844.116,119.986
00207082763-01,207082763,1,3,3409,4.9095,10.348,0.00156919,3.78646,0.690052,0.102012,37.6889,0.0650449,0.34,12255.1,1110.98,2.31166,1333.23,0.00105994,0.214067,0.01321,7.98657,2.4,2,0.09975,14.1907,11.4536,343.915,3.30619
00207082763-02,207082763,2,3,3409,4.9095,14.4904,0.00188818,2.8195,0.938874,0.0759609,99.7868,0.0814131,0.34,6793.97,954.805,1.19339,1335.65,0.0013917,0.0842917,0.0219302,5.76088,10.4153,2,2.55067,13.6432,11.4534,307.405,2.11041
00207082763-03,207082763,3,3,3409,4.9095,10.6939,0.00533346,5.21049,13.3802,0.140377,15.0282,0.0664862,0.34,8304.96,1810.36,3.1045,1330.69,0.00632043,1.55225,0.98787,4.73824,7.20139,3,7.78068,10.4325,6.99803,340.167,3.1644
00209394833-01,209394833,1,1,3506,4.438,9.7552,0.0030957,2.06782,8.98592,0.0189413,34.8113,0.0893949,1,426.692,107.167,2.16774,1332.49,0.00359062,0.0408373,0.114965,4.13191,2.51667,3,6.835,9.66853,9.10448,517.425,16.9399
00211336323-01,211336323,1,1,4970,4.49871,17.2146,0.00494542,3.86803,3.98262,0.0419251,31.7689,0.122255,0.84511,2026.04,223.617,3.89269,1325.99,0.0034488,0.194403,0.449185,6.95496,5.94861,2,18.3606,10.2608,10.6615,576.597,26.1222
00211354429-01,211354429,1,1,5112,4.47617,11.2746,0.00233611,3.69674,4.11709,0.0381475,31.4667,0.0936365,0.887668,1755.05,179.11,2.84206,1326.49,0.00242134,0.104475,0.00868716,4.73165,-0.20417,3,0.84228,7.59791,5.66332,694.521,54.9874
00211376134-01,211376134,1,1,6174,4.45041,8.97891,0.00243952,3.92884,1.60017,0.0336111,21.1384,0.0893774,1.07073,1264.58,145.152,3.07789,1332.33,0.0030978,0.119842,0.411868,4.82066,6.45,3,3677.7,64.2471,89.3511,942.942,186.836
00211380233-01,211380233,1,1,3452,4.88921,4.63708,0.00100943,2.09353,0.576573,0.0529746,12.1207,0.0391015,0.362,3308.97,281.839,3.0811,1329.8,0.00313585,0.155371,0.0136371,2.38395,-0.93889,6,10.3229,8.88936,6.10197,463.468,10.9044
00211404043-01,211404043,1,1,5613,4.37679,5.33911,0.00151986,3.12057,3.62085,0.0267158,14.4906,0.0596999,1.06995,798.779,128.058,2.54136,1327.16,0.00329614,0.086533,0.490882,3.58832,0.88611,5,4.15909,7.44391,5.65252,1048.53,285.659
00211413277-01,211413277,1,1,5993.1,3.9,4.98459,0.00483513,3.8807,0.772319,0.0305471,1.54787,0.041828,1.16369,842.398,169.669,16.2634,1327.93,0.0143481,2.14359,0.886429,3.80093,1.54306,6,0.8215,8.82631,9.07396,1394.85,894.615
00211414032-01,211414032,1,1,3484,4.87333,13.3698,0.00838273,4.86524,14.6546,0.117588,21.8137,0.0806816,0.379,7173.11,1432.65,2.62501,1336.1,0.00557054,1.31251,0.967154,3.14598,6.75972,2,11.4876,10.7719,11.9863,333.198,2.91293
00212252042-01,212252042,1,2,5746,4.58577,19.3584,2.77233,2.57397,228.36,0.0275647,17.6885,0.142481,0.85536,875.513,78694.6,8.21192,1326.39,1.90787,0.242307,0.304019,1552.2,-0.95833,2,562.605,108.825,154.248,621.231,35.1992
00212252042-02,212252042,2,2,5746,4.58577,18.9928,0.00832401,3.94173,1.05067,0.042212,30.25,0.140682,0.85536,2026.44,395.225,4.62815,1330.43,0.00600287,0.220506,0.39452,9.49392,3.62916,2,16.4918,23.2851,30.1567,625.192,36.1056
00212254842-01,212254842,1,1,5780,4.438,14.0482,0.00850773,26.4567,3.42613,0.242344,46.7338,0.113999,1,68366.9,11909.3,2.8532,1327.5,0.00656565,0.556679,0.00930402,4.68951,-1.59306,2,0.35619,9.74462,10.1217,755.385,76.9476
00212254905-01,212254905,1,2,5759.7,4.48,22.3871,0.195055,2.48406,170.717,0.0162916,93.3494,0.200702,1.39668,290.481,1994.62,1.57044,1325.97,0.0829894,0.0356324,0.54602,286.477,-0.54444,2,435.288,62.1109,79.4657,670.447,47.7505
00212254905-02,212254905,2,2,5759.7,4.48,27.2197,0.0524455,66.4273,391.674,0.43566,6.22447,0.228635,1.39668,79621.2,224035,35.0317,1326.42,0.0261351,17.5158,0.999997,0,0.06528,2,8600.66,75.4019,79.0351,628.158,36.7957
00212257896-01,212257896,1,2,5680,4.36382,22.1449,0.00337495,8.15652,8.16421,0.0682196,27.4458,0.154979,1.0952,3947.09,291.996,3.43472,1326.43,0.00260611,1.12229,0.911579,9.30508,-0.92083,2,14.5312,16.1748,15.5192,666.27,46.5717
00212257896-02,212257896,2,2,5680,4.36382,16.958,0.0054604,5.62146,5.63596,0.0470168,18.1559,0.12972,1.0952,1790.92,224.001,3.358,1332.44,0.00404189,1.03228,0.935631,5.24011,10.3097,2,0.04019,10.0041,8.30039,728.255,66.4745
00212262393-01,212262393,1,1,6558.75,4.438,20.7392,0.00479487,2.9128,5.84936,0.0177087,115.607,0.194251,1.50668,356.351,47.7995,1.39469,1330.38,0.00371343,0.0242713,0.00960449,3.12974,1.75555,2,5.09269,7.97122,7.72851,806.012,99.7442
00212262797-01,212262797,1,2,5223.5,4.08,19.6695,0.00349995,4.46008,4.49191,0.0417141,114.035,0.106903,0.979394,2010.03,289.082,1.28883,1328.72,0.00198234,0.0588917,0.358521,5.92707,-2.82778,2,0.53608,10.1861,7.90887,697.65,55.985
00212262797-02,212262797,2,2,5223.5,4.08,17.7593,0.00604029,5.29309,0.842641,0.049505,30.5265,0.0998645,0.979394,2001.9,306.6,2.19583,1331.08,0.00339705,0.621926,0.926068,5.37744,12.5597,2,0.05539,10.0709,7.66603,721.816,64.1546
00212267307-01,212267307,1,1,4881,3.12014,17.4795,0.00534468,23.1772,5.58725,0.0509226,8.67606,0.124238,4.16915,3152.82,221.971,16.2145,1329.9,0.00369262,0.78902,0.00340435,3.34931,-3.00139,2,110.048,18.6659,18.9207,1247.67,572.681
00212288885-01,212288885,1,2,6118,4.99,18.665,0.00325781,8.98383,12.1248,0.0620778,27.2195,0.253973,1.32563,1887.3,245.431,2.08196,1329.88,0.0022865,1.04098,0.985025,5.34476,4.525,2,14.2378,10.6478,11.6017,616.763,34.1976
00212288885-02,212288885,2,2,6118,4.99,13.3603,0.00251704,4.16654,5.97949,0.0287906,91.187,0.203227,1.32563,940.756,131.363,1.11848,1327.95,0.00176592,0.0332392,0.244771,6.34653,-1.54167,2,1.2273,8.79968,7.86214,689.48,53.4082
00212289450-01,212289450,1,2,5525.1,4.05,16.671,0.00520164,11.3983,34.4743,0.0953708,23.5804,0.100773,1.09477,3325.28,2995.06,2.41688,1330.79,0.00315054,1.20844,0.999988,8.90705,11.525,2,9.56841,9.1156,8.91238,803.565,98.5382
00212289450-02,212289450,2,2,5525.1,4.05,19.9644,0.00410927,5.49603,2.98664,0.0459858,81.3712,0.113643,1.09477,2473.3,351.219,1.9571,1328.65,0.00202863,0.0863678,0.0623362,4.2901,-2.93889,2,4.57985,8.81369,8.99795,756.698,77.4839
00212294682-01,212294682,1,1,4571,1.82087,17.7989,0.00186941,66.4774,38.8159,0.0357939,82.5551,0.118454,17.0123,1440.63,136.667,1.44502,1329.55,0.00117689,0.0706603,0.550651,2.99861,0.61528,2,32.9509,14.545,15.7772,2417.19,8067.93
00212294687-01,212294687,1,1,5679,4.543,18.5441,0.00295465,7.11548,2.48067,0.0731571,47.8562,0.137675,0.890933,4073.19,685.413,1.53805,1329.62,0.00174467,0.769023,0.93906,7.75978,-3.70278,2,36.3143,15.0606,16.2286,637.468,39.026
00212296228-01,212296228,1,1,5650.7,3.65,11.3386,0.00435424,6.60866,1.26353,0.0503863,20.9826,0.0609995,1.20143,2669.23,380.955,3.34018,1330.29,0.00621306,0.281235,0.670552,5.69967,7.50277,3,17.6263,14.6377,13.6997,1106.57,354.357
00212297095-01,212297095,1,2,5849.95,4.195,9.60275,0.00138992,14.6903,31.3422,0.11754,22.9923,0.0803365,1.14483,5702.49,533.424,1.64532,1329.35,0.0017258,0.82266,0.991723,6.92572,4.39166,3,6.73158,11.3468,10.3528,974.447,213.085
00212297095-02,212297095,2,2,5849.95,4.195,15.8659,0.00328259,5.65952,2.85101,0.0452831,61.6657,0.112277,1.14483,2383.23,361.536,2.02508,1331.82,0.00214347,0.0904442,0.17672,6.12702,5.275,2,0.13136,8.74657,7.20996,824.268,109.092
00212299538-01,212299538,1,1,5121,4.47461,13.7037,0.00292603,4.42173,6.74627,0.0454811,81.7852,0.106747,0.890551,2449.93,453.717,1.29166,1329.61,0.00203449,0.0605373,0.273602,3.31204,7.82083,2,0.65402,7.1352,6.82919,652.676,42.8857
00212319204-01,212319204,1,1,6095.15,4.438,17.8147,0.00461001,2.87067,2.62514,0.0200574,45.5646,0.159985,1.31101,462.679,48.9834,3.00011,1329.6,0.00222274,0.0608994,0.178322,3.46277,-3.70694,2,5.1985,12.1834,11.7449,769.91,83.0386
00212320049-01,212320049,1,2,5608,4.60054,18.0321,0.00464038,3.57558,5.73196,0.0396306,97.3664,0.134331,0.826444,1844.49,378.998,1.4577,1330.12,0.0029464,0.0566232,0.138998,100.769,4.95278,2,22.4462,10.1263,11.4416,613.789,33.5427
00212320049-02,212320049,2,2,5608,4.60054,18.8047,0.00667949,2.77832,2.52867,0.030794,49.2677,0.138141,0.826444,1089.16,197.62,2.81393,1330.7,0.00464409,0.0963707,0.362478,3.07507,13.9847,2,6.92183,7.99328,9.60041,605.265,31.7178
00212320065-01,212320065,1,3,58450,5.00099,21.9412,0.00366225,3.11904,0.189809,0.0772176,44.759,0.121841,0.37,5808.21,682.154,2.23981,1330.09,0.00275384,0.706683,0.896017,9.14535,0.46389,2,1.40999,12.99,10.9971,4494.49,96436.9
00212320065-02,212320065,2,3,58450,5.00099,9.64897,0.00108214,2.63827,0.466414,0.0653153,103.592,0.0704596,0.37,4404.62,784.313,0.736639,1329.92,0.00155992,0.0480283,0.251434,5.64394,-0.34861,3,5.45852,8.04111,8.66141,5910.27,288370
00212320065-03,212320065,3,3,58450,5.00099,21.9414,0.00394919,1.82829,0.30087,0.0452626,82.8287,0.121842,0.37,2120.28,484.349,2.11234,1330.55,0.00280422,0.0917475,0.0557407,4.36208,-0.98611,2,0.32446,7.93144,7.11851,4494.48,96435.7
00212323118-01,212323118,1,2,3016,5.11107,13.4613,0.00602923,3.12939,0.745836,0.16862,30.9846,0.0569992,0.17,28285.3,3096.24,2.9512,1327.75,0.00467778,0.911446,0.758745,5.44996,2.10833,2,0.02895,12.3506,9.51145,229.834,0.659439
00212323118-02,212323118,2,2,3016,5.11107,14.0792,0.00728449,2.11613,0.589545,0.114023,38.625,0.0587305,0.17,15206.3,2152.25,3.07036,1329.86,0.00536179,0.321836,0.160222,3.24828,9.99722,2,0.0022,8.44505,6.44336,226.421,0.621133
00212324352-01,212324352,1,1,4803,4.52079,8.80371,0.00333697,2.42475,3.33704,0.0277127,19.6616,0.0767573,0.801468,938.578,124.616,3.50968,1329.8,0.00368476,0.0951289,0.0665058,5.43351,4.92361,3,7.10708,8.43619,8.5739,684.838,51.9842
00212324438-01,212324438,1,1,5889,4.25565,18.6511,0.00273051,14.6032,21.4624,0.104863,23.6888,0.140817,1.27562,4099.69,18150.7,2.82854,1329.81,0.00163847,1.41427,1,9.83621,-4.28333,2,37.216,18.5878,19.773,782.107,88.4272
00212344482-01,212344482,1,3,5711,4.35791,0.752261,2.78747e-005,22.2759,22.6044,0.184329,1.64152,0.0162979,1.10698,13286.1,25022.2,2.92605,1325.87,0.000533133,1.46302,1,5.52822,-0.16111,37,140.676,42.0867,14.9498,2076.87,4396.98
00212344482-02,212344482,2,3,5711,4.35791,0.752386,3.90573e-005,5.42963,7.95479,0.0449291,3.17836,0.0162997,1.10698,974.653,100.529,0.66144,1325.31,0.00104872,0.33072,0.985646,3.339,0.35417,38,80.2483,11.7524,4.72581,2076.75,4396.01
00212344482-03,212344482,3,3,5711,4.35791,0.752323,3.55056e-005,3.56906,3.61971,0.0295333,5.59503,0.0162988,1.10698,757.141,70.3122,0.517905,1325.37,0.00106524,0.0720555,0.901671,3.60285,0.05417,37,28.188,10.543,4.35167,2076.81,4396.51
00212348822-01,212348822,1,1,6241,4.44507,6.19741,0.00139944,3.70798,7.42933,0.0311288,50.0259,0.0703991,1.09112,1112.61,202.863,0.972734,1330.54,0.00225863,0.0295694,0.0834236,3.58637,-1.25417,4,6.2649,7.18482,5.41283,1084.17,326.525
00214198381-01,214198381,1,1,4980,4.438,10.6809,0.00236986,56.813,58.2798,0.613739,6.77405,0.085075,0.847934,297158,10362.3,17.9011,1329.26,0.00320274,8.95053,0.672441,15.9207,1.01944,3,4.14994,59.4139,79.6372,693.747,54.7427
00214299836-01,214299836,1,2,6292,4.438,0.871244,7.94997e-006,59.1862,6.19497,0.15218,1.52705,0.0416635,3.56255,11741.2,48.2561,3.68927,1325.75,0.000126939,1.84464,0.970903,5.34085,0.63485,32,432.256,115.104,35.1746,2567.34,10267.2
00214299836-02,214299836,2,2,6292,4.438,0.87156,3.37037e-005,8.36206,3.61294,0.0215006,15.9565,0.0416736,3.56255,528.346,38.8552,0.425774,1325.5,0.000506598,0.00900619,0.0611892,3.3977,0.48958,32,61.2576,11.5611,7.45255,2567.03,10262.3
00214299966-01,214299966,1,3,5994,4.30571,3.06717,7.35472e-005,19.0528,19.0575,0.142543,6.77398,0.0427389,1.22436,17441,199.189,2.5554,1327.03,0.000347046,1.2777,0.878027,17.7439,-0.45417,9,61.9329,122.85,48.6716,1415.64,949.135
00214299966-02,214299966,2,3,5994,4.30571,18.3822,0.0043088,20.9632,37.4248,0.156836,16.5402,0.141014,1.22436,9629.15,1925.65,4.94962,1329.67,0.00282135,2.47481,0.999893,3.50919,-1.08611,2,343.608,42.1309,57.3728,779.349,87.1862
00214299966-03,214299966,3,3,5994,4.30571,3.06761,0.000325064,4.42048,4.98752,0.0330718,13.0298,0.042743,1.22436,1267.14,101.771,1.85627,1325.5,0.00171694,0.0597854,0.0653906,3.54915,0.25972,10,29.0504,11.8262,6.19359,1415.57,948.952
00214428425-01,214428425,1,2,6529.95,4.438,19.1782,0.00310193,28.9449,46.0272,0.168328,39.8499,0.18992,1.57512,13517.8,989.533,2.34656,1329.17,0.00159036,1.17328,0.978729,55.4374,0.60556,2,2218.09,94.368,126.422,829.8,112.051
00214428425-02,214428425,2,2,6529.95,4.438,18.9602,0.00293686,27.4764,11.9116,0.159788,9.85501,0.188478,1.57512,10243.3,3360.06,8.68428,1329.75,0.00156733,4.34214,0.999999,24.6601,-0.89722,2,2454.82,57.1719,76.584,832.968,113.772
00214516789-01,214516789,1,1,2861,5.17985,11.4188,0.00572449,2.64463,0.470062,0.180783,17.1803,0.0459469,0.134,38320.7,2187.82,5.99412,1334.67,0.00429348,0.920845,0.0530932,13.9348,0.12361,2,734.814,26.1267,34.4067,215.593,0.510572
00214517366-01,214517366,1,1,4558,4.47891,20.9697,0.00065951,27.2834,18.8687,0.308844,33.6896,0.133421,0.809202,37442.9,177848,4.01755,1330.96,0.000464208,2.00878,1,2.3254,-4.09444,2,13377.8,125.928,174.219,495.316,14.2249
00214517415-01,214517415,1,4,3080,4.438,12.6752,0.00432567,16.6364,145.232,0.15239,120.912,0.106445,1,13559.2,7561.76,0.533989,1328.34,0.00346869,0.266995,0.939911,34.4337,0.68333,2,2065.15,58.0396,82.4044,416.563,7.11611
00214517415-02,214517415,2,4,3080,4.438,13.536,0.00283743,56.4338,1330.71,0.516936,54.2181,0.111211,1,130396,12295.7,2.26713,1327.5,0.00171082,1.13357,0.942734,24.8443,1.19305,2,1404.54,45.5534,79.557,407.538,6.51921
00214517415-03,214517415,3,4,3080,4.438,20.4875,-1,15.7588,-1,0.144351,50.9817,0.146605,1,0,0,3.5,1328.72,-1,0.445524,0.1,13.0677,-0.6875,0,244.406,35.6109,54.6905,354.951,3.75142
00214517415-04,214517415,4,4,3080,4.438,16.2875,-1,12.1792,-1,0.111562,22.9671,0.125813,1,420710,0,6,1327.99,-1,0.608067,0.1,4.31551,1.29722,0,667.811,31.7698,42.7708,383.16,5.0938
00214517426-01,214517426,1,3,5454,4.15817,19.5145,0.00170425,49.1937,125.539,0.334367,50.7812,0.139693,1.34767,45683.6,5632.42,2.59558,1328.24,0.00126049,1.29779,0.999611,94.57,0.40139,2,17089.6,148.554,209.318,747.502,73.7853
00214517426-02,214517426,2,3,5454,4.15817,5.10833,-1,13.2714,-1,0.0902051,16.9582,0.0571637,1.34767,9624.29,-1,2.5,1328.65,-1,0.209003,0.1,19.5466,-0.67917,5,16913.5,82.1907,148.556,1168.53,440.631
00214517426-03,214517426,3,3,5454,4.15817,20.484,0.00329986,23.7952,75.8996,0.161735,47.8434,0.144282,1.34767,9941.3,9730.2,1.93454,1327.98,0.002055,0.967268,0.999988,11.8914,1.01389,2,192.493,33.6235,45.3543,735.518,69.1663
00214568914-01,214568914,1,1,31000,5.59998,11.6186,0.068046,2.99464,0.63703,0.152395,8.14613,0.0781205,0.18,24447.6,9519.58,12.5986,1334.45,0.0485019,1.67323,0.000895098,3.11429,0.98194,2,4252.06,49.9271,68.2709,2076.38,4392.89
00214659089-01,214659089,1,1,3042,4.438,12.2803,0.00573091,1.94037,3.98155,0.0177739,34.6457,0.104223,1,370.419,74.6544,2.64588,1335.39,0.00463166,0.0502381,0.285338,7.66121,1.14167,2,38.228,15.0979,18.3681,415.786,7.0632
00214709620-01,214709620,1,3,3301,4.96503,13.5681,-1,14.3653,-1,0.460093,150.989,0.0724582,0.286,243079,-1,1,1333.68,-1,0.317886,0.1,105.876,-0.12778,2,10339.5,103.325,164.727,289.385,1.6574
00214709620-02,214709620,2,3,3301,4.96503,13.699,0.00507099,6.82384,1.2675,0.218555,36.4561,0.0729238,0.286,55996.2,5406.12,3.49867,1334.08,0.00361152,0.627641,0.00455051,26.6169,0.34444,2,1967.1,54.2748,76.2304,288.46,1.6363
00214709620-03,214709620,3,3,3301,4.96503,15.4933,0.00429269,3.58367,0.888415,0.114778,69.8747,0.0791599,0.286,15490,2057.03,1.88839,1334.42,0.00302308,0.194442,0.00207003,8.67145,-0.92222,2,830.237,29.0284,41.3348,276.865,1.38865
00214772274-01,214772274,1,1,5506,4.4696,6.97888,0.00105983,3.42577,2.86178,0.0330913,32.8364,0.0707143,0.948293,1296.21,185.822,1.67764,1327.94,0.00156721,0.0537539,0.00369027,5.47752,5.16389,4,21.746,13.864,12.6466,889.704,148.082
00214772353-01,214772353,1,2,4936,4.50356,12.1641,0.019127,2.65184,2.89418,0.0290668,7.75677,0.0966259,0.835695,844.869,546.712,8.4008,1325.66,0.0259437,0.538265,0.757143,72.1575,0.46111,3,9485,110.592,165.309,640.537,39.783
00214772353-02,214772353,2,2,4936,4.50356,10.4465,0.00340544,12.1618,12.5854,0.133305,9.76027,0.0873013,0.835695,13100.5,1231.4,5.57132,1327,0.00476067,2.78566,0.908225,35.663,-0.29167,3,2119.47,45.8196,65.8542,673.877,48.7353
00214772358-01,214772358,1,4,6426.4,4.14,20.2524,0.00211145,31.2183,58.4967,0.202592,43.1165,0.145634,1.41151,16863.8,1934.64,2.39905,1327.23,0.00165291,1.19952,0.999762,66.4294,-1.24583,2,14697.8,132.459,193.583,882.816,143.55
00214772358-02,214772358,2,4,6426.4,4.14,21.5308,0.00209648,36.0236,87.2629,0.233776,65.4286,0.1517,1.41151,25195.2,1960.01,1.8783,1326.93,0.0013967,0.939149,0.981892,51.0009,0.625,2,3629.71,85.8316,123.723,864.987,132.3
00214772358-03,214772358,3,4,6426.4,4.14,22.719,0.00528025,38.6492,49.1638,0.250815,14.065,0.157231,1.41151,26241.1,1876.61,9.3044,1326.48,0.00299235,4.6522,0.999711,7.65417,2.28194,2,17335.6,186.249,261.041,849.636,123.155
00214772358-04,214772358,4,4,6426.4,4.14,19.3623,0.0187539,5.02699,0.720116,0.0326228,6.73695,0.141335,1.41151,930.228,115.181,10.3279,1328.1,0.00969841,1.90766,0.921704,13.2678,-2.31944,2,0.00206,7.12153,6.33481,896.142,152.416
00214772414-01,214772414,1,1,6423.8,4.22,6.08049,0.00163461,4.05011,1.07723,0.0247524,7.92292,0.0722679,1.49881,694.723,120.47,5.89136,1327.3,0.00437583,0.149822,0.215736,15.6258,-0.525,5,1762.53,72.6495,63.8433,1290.88,656.235
00214873946-01,214873946,1,4,5375,4.42517,5.3671,0.00247793,3.24635,4.22995,0.0303427,13.6893,0.0586406,0.98003,1072,227.571,2.92945,1327.44,0.00546378,0.0964457,0.327388,40.6028,-0.58889,5,6825.98,99.9679,110.699,969.596,208.874
00214873946-02,214873946,2,4,5375,4.42517,5.59512,191.285,0.0109849,935.468,0.000102673,10.9874,0.0602899,0.98003,0.0102849,201.694,2.37253,1326.64,253.86,0.000659904,0.794096,12.23,1.51528,5,2719.42,57.2875,81.4995,956.242,197.602
00214873946-03,214873946,3,4,5375,4.42517,5.27971,0.00288273,14.0796,17.4829,0.131598,16.1132,0.0580023,0.98003,10432.3,912.428,1.5611,1327.74,0.00132961,0.780552,0.945041,6.30926,0.76111,5,18.7982,41.2467,30.3843,974.917,213.497
00214873946-04,214873946,4,4,5375,4.42517,13.8522,0.00557087,5.26655,5.29284,0.0492248,15.8573,0.110336,0.98003,2709.42,261.006,6.09591,1333.68,0.00404498,0.385026,0.517954,5.63276,0.725,2,189.363,24.285,31.7215,706.857,58.9994
00214912513-01,214912513,1,5,4192,1.72421,6.85185,0.00111575,277.399,367.335,0.140027,11.0499,0,18.1464,6833.01,810.119,2.61209,1325.82,0.0025223,1.30605,0.999169,27.0465,-0.57361,5,259.406,52.6416,62.8231,0,0
00214912513-02,214912513,2,5,4192,1.72421,22.5689,0.00593775,534.009,2652.07,0.26956,53.5581,0.134511,18.1464,27722.9,6182.39,2.52173,1325.59,0.00455627,1.26087,0.999205,10.3677,0.44306,2,369.573,43.296,52.8711,2148.47,5035.44
00214912513-03,214912513,3,5,4192,1.72421,16.2744,0.00232959,439.417,371.885,0.221811,28.3601,0.108166,18.1464,18195.1,59507,3.07978,1332.09,0.00115067,1.53989,0.999999,15.3303,0.35833,2,110.806,45.2925,42.3186,2395.87,7787.11
00214912513-04,214912513,4,5,4192,1.72421,22.8539,0.00141494,217.477,64.7832,0.109779,36.9088,0.135642,18.1464,13522.5,837.6,4.50601,1326.1,0.000855421,0.634926,0.569762,2.97306,0.48472,2,46.4275,30.1628,32.0395,2139.5,4951.86
00214912513-05,214912513,5,5,4192,1.72421,15.4628,0.00435707,343.024,290.684,0.173154,17.4316,0.104539,18.1464,10701.1,2066.78,4.16502,1332.44,0.0033707,2.08251,0.999968,5.0304,0.69722,2,12.8835,22.2862,16.2118,2437.08,8336.78
00214912528-01,214912528,1,2,3769,4.74992,7.125,-1,8.46286,-1,0.147097,5.021,0.0600978,0.527,25414.3,-1,12.5,1325.81,-1,1.63588,0.1,15.7008,1.8125,4,5913.2,148.609,208.704,492.486,13.9026
00214912528-02,214912528,2,2,3769,4.74992,7.88007,0.00223938,3.36988,0.571576,0.0585736,10.122,0.0642721,0.527,3737.87,470.114,5.24961,1326.72,0.00455687,0.433509,0.58827,4.82541,0.76389,4,367.399,27.6587,32.3937,476.225,12.1554
00214912529-01,214912529,1,4,6067.91,4.438,22.2317,0.00209421,16.7013,20.9672,0.147141,44.8829,0.158883,1.03971,8481.62,860.313,2.13169,1326.42,0.00103925,1.06585,0.999377,24.8332,-0.9,2,243.137,48.0205,57.2384,684.933,52.0131
00214912529-02,214912529,2,4,6067.91,4.438,6.71438,0.000803092,3.09255,0.454277,0.0272459,9.46859,0.0715211,1.03971,793.082,129.289,4.44638,1325.59,0.00200666,0.189518,0.621403,12.9567,0.60139,5,573.414,37.3582,40.459,1020.87,256.686
00214912529-03,214912529,3,4,6067.91,4.438,16.6788,0.00205103,14.7804,8.94847,0.130218,19.2367,0.131182,1.03971,6530.95,1692.77,3.49376,1331.77,0.00129615,1.74688,0.999994,15.1069,11.0583,2,237.253,30.0093,34.2541,753.79,76.2998
00214912529-04,214912529,4,4,6067.91,4.438,14.58,0.00484783,8.00319,7.24188,0.0705096,13.195,0.119932,1.03971,2011.44,196.344,3.3613,1333.43,0.00248263,1.68065,0.994172,10.4342,7.09722,2,6.59002,13.5326,11.0142,788.352,91.2854
00214913675-01,214913675,1,2,6428.61,4.438,23.3993,0.00425703,17.5293,2.03796,0.0671308,56.3484,0.286495,2.39188,4339.27,535.185,2.14581,1325.73,0.00121514,0.383458,0.825446,19.6691,-0.31389,2,5.2656,22.0883,21.0863,819.635,106.66
00214913675-02,214913675,2,2,6428.61,4.438,22.093,-1,6.96697,-1,0.026681,114.973,0.275731,2.39188,813.005,-1,1.5,1326.16,-1,0.0393661,0.1,11.9894,-0.75694,2,132.978,29.9424,30.6879,835.48,115.15
