#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142
#Sectors = s0001-s0001
#Created Date = 2018-11-14
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00126805047-01,126805047,1,1,2955,4.438,24.7783,0.00284038,17.7881,2.63926,0.162939,109.725,0.166419,1,24155.6,4323.78,1.39238,1326.86,0.00189914,0.696192,0.837287,2.60766,0.66806,2,0.19605,10.6648,9.74075,319.63,2.46667
00126819791-01,126819791,1,1,3143,4.438,9.67003,0.00320795,1.88162,0.168954,0.0172358,4.68079,0.0888738,1,299.424,38.6463,10.9178,1330.2,0.00396622,0.425865,0.756371,6.93981,-2.38333,3,48.2443,17.6193,21.4689,465.21,11.0693
00126890217-01,126890217,1,1,5143,4.47072,11.0758,0.00399186,3.57003,4.9323,0.0364283,40.1278,0.0928394,0.897697,1565.86,175.801,2.09322,1333.97,0.00278438,0.0805062,0.298268,2.56948,2.52639,2,16.656,9.64742,9.70264,705.679,58.607
00126944775-01,126944775,1,4,7639,3.99909,1.3479,-1,62.9845,-1,0.260464,6.51077,0.0289876,2.21505,0,0,2,1325.54,-1,0.419262,0.1,4.68279,0.21389,0,260269,4103.15,1409.01,2946.55,17814.7
00126944775-02,126944775,2,4,7639,3.99909,4.04357,0.000423448,46.9955,12.2616,0.194343,3.17263,0.0602954,2.21505,15802.2,1995.48,6.75355,1328.56,0.00144908,3.37678,0.999998,102.888,2.69722,7,10.7791,112.755,51.5164,2043.05,4117.5
00126944775-03,126944775,3,4,7639,3.99909,1.34895,-1,14.8173,-1,0.0612751,4.39934,0.0290026,2.21505,4191.65,-1,2.5,1325.72,-1,0.148142,0.1,30.7273,0.97672,0,65.1816,178.625,87.1847,2945.79,17796.2
00126944775-04,126944775,4,4,7639,3.99909,1.34696,-1,8.97228,-1,0.0371037,4.29209,0.0289742,2.21505,1537.17,-1,2.5,1325.37,-1,0.0919339,0.1,5.27016,0.60139,0,103.101,69.4321,31.9673,2947.23,17831.2
00126945917-01,126945917,1,1,7524,4.12991,1.34092,-1,12.5441,-1,0.0611076,3.66062,0.0286344,1.88036,365952,0,3,1326.29,-1,0.178675,0.1,133.412,0.67565,0,1632.94,182.072,57.3754,2690.4,12381.9
00139067693-01,139067693,1,1,3288,4.438,0.47419,6.38483e-005,7.16191,0.302283,0.0656034,1.23268,0.0119067,1,3472.44,273.012,2.5592,1325.51,0.00204228,0.98633,0.925122,9.58379,0.2375,59,17.2814,9.03588,2.65359,1329.62,738.645
00139112038-01,139112038,1,1,5830.74,4.53843,12.1707,0.00346446,2.10028,0.569381,0.0181146,19.8942,0.116485,1.06205,362.843,39.3029,4.09644,1335.25,0.00293112,0.0991734,0.518946,5.64522,0.84444,2,7.31704,9.77377,9.44238,776.877,86.0857
00139128537-01,139128537,1,4,4488,4.43856,1.57775,-1,18.1879,-1,0.200797,9.64075,0.0234413,0.829703,0,0,1.5,1326.73,-1,0.253748,0.1,325.367,0.78608,0,3501.3,605.774,198.5,1178.19,455.388
00139128537-02,139128537,2,4,4488,4.43856,1.57807,7.23074e-006,24.6077,4.04654,0.271673,5.98013,0.0234445,0.829703,75550.9,196.042,2.19257,1325.94,6.90073e-005,0.831417,0.679961,18.2948,0.89167,18,221.822,144.759,42.584,1178.11,455.264
00139128537-03,139128537,3,4,4488,4.43856,1.57917,-1,7.07608,-1,0.078121,4.36273,0.0234554,0.829703,7543.8,-1,3,1326.6,-1,0.22307,0.1,5.34109,-0.325,17,65.7584,113.812,42.4908,1177.84,454.842
00139128537-04,139128537,4,4,4488,4.43856,12.6538,0.00263021,5.98098,5.11874,0.0660309,92.7623,0.0939228,0.829703,5341.49,683.54,1.09142,1335.85,0.00104651,0.0702255,0.198962,4.05265,1.42639,2,18.6547,11.8937,12.6881,588.6,28.3663
00139148071-01,139148071,1,1,6145,4.438,0.700651,-1,7.67977,-1,0.070347,3.85423,0.0154462,1,287134,0,1.5,1325.6,-1,0.101678,0.1,38.9307,0.35556,0,1330.81,160.223,34.9456,2181.74,5354.64
00139148528-01,139148528,1,1,5809,4.56733,8.28723,0.00270343,2.22713,1.43319,0.0231561,16.6419,0.0813809,0.881001,600.683,74.7649,3.47048,1326.33,0.00517149,0.0996856,0.464871,2.41904,4.87639,4,2.62652,7.93275,4.67555,843.374,119.565
00139148616-01,139148616,1,2,6825.97,4.438,1.16452,0.00015015,2.343,1.21904,0.0124562,2.71285,0.0311489,1.72299,174.126,17.651,3.2999,1325.4,0.00186108,0.0454898,0.258572,3.57591,0.7,24,31.872,7.53876,3.37471,2240.15,5951.51
00139148616-02,139148616,2,2,6825.97,4.438,8.10889,0.0020261,3.36061,3.65253,0.0178662,36.479,0.113584,1.72299,355.293,51.022,1.62681,1329.19,0.00212565,0.03233,0.344415,4.12439,-0.6875,3,0.04627,7.55998,5.8304,1173.11,447.585
00139188326-01,139188326,1,1,6506,4.438,0.294214,2.91241e-006,35.3448,5.09836,0.119609,1.243,0.016823,2.70682,5574.13,521.696,1.68687,1325.58,0.000140088,0.843437,1,2.60836,0.07751,95,6472.94,221.953,39.8053,3641.53,41558.2
00139198430-01,139198430,1,1,5984,4.30752,15.3579,0.00166425,13.7919,23.4913,0.103572,28.0934,0.12495,1.21977,4013.93,82968.4,1.95068,1333.09,0.000900754,0.97534,1,3.69493,0.60833,2,91.8882,23.0078,25.6147,825.002,109.481
00139256217-01,139256217,1,1,6256,4.26033,2.19919,4.70399e-005,18.7117,18.712,0.126627,4.99618,0.0353532,1.35358,18405.8,152.269,3.82134,1325.35,0.000336065,0.434654,0.00059166,3.92699,1.1,13,940.896,106.666,35.4589,1708.11,2011.8
00139285669-01,139285669,1,1,3260,4.438,0.697789,0.000299059,19.2956,3.05818,0.176749,1.25368,0.0154042,1,25136.9,2697.29,5.70717,1325.82,0.00593768,2.85359,0.871078,9.21257,0.33754,40,11.1888,7.28359,4.75424,1159.02,426.464
00139699256-01,139699256,1,2,6692,3.30553,5.95139,-1,83.4559,-1,0.1742,8.89157,0.0722684,4.3884,0,0,6,1331.21,-1,0.901143,0.1,242.201,3.15555,0,178952,2256.13,1711.35,2301.05,6625.65
00139699256-02,139699256,2,2,6692,3.30553,5.95278,-1,33.2313,-1,0.0693648,24.2166,0.0722796,4.3884,0,0,2,1328.4,-1,0.13103,0.1,472.53,-0.24861,0,1649.11,299.248,156.661,2300.88,6623.59
00139700621-01,139700621,1,1,6177,4.27353,0.346936,5.72103e-006,44.7564,45.1594,0.312168,1.57872,0.010219,1.3133,40457.4,2563.8,2.03831,1325.38,0.000250081,1.01916,0.999991,33.0887,0.175,81,43.7058,30.1392,5.33411,3089.92,21543.3
00139721086-01,139721086,1,1,6292,4.438,4.48611,-1,87.1661,-1,0.43494,14.0413,0.0798508,1.83576,0,0,3.5,1328.37,-1,1.0711,0.1,208.482,-0.36944,0,1.79109e+006,11572,5613.85,1331.22,742.193
00139804696-01,139804696,1,3,3043,4.438,0.770985,0.000162059,4.05857,1.39674,0.0371766,2.1531,0.0164634,1,1608.24,224.088,2.82142,1325.54,0.00306958,0.12212,0.339697,9.33669,0.37083,36,24.5789,7.84675,4.89153,1046.49,283.438
00139804696-02,139804696,2,3,3043,4.438,17.6776,0.00371969,10.3461,1.56512,0.0947706,64.8336,0.132873,1,10699.9,1327.75,2.28018,1329.76,0.00203985,0.197462,0.0180973,3.96887,2.33611,2,1.64779,9.31229,7.23856,368.362,4.35131
00139804696-03,139804696,3,3,3043,4.438,0.770959,0.000345706,10.699,14.361,0.0980035,1.14513,0.016463,1,3365.13,3404.08,5.58789,1325.92,0.00685236,2.79395,0.999999,0.19769,0.21527,36,35.1081,8.18684,4.21696,1046.5,283.451
00139825840-01,139825840,1,1,5678,2.43778,3.84405,7.84325e-005,233.468,47.4712,0.212677,2.47513,0,10.0555,47688.4,156.08,13.1119,1328.52,0.000271103,3.68283,0.635254,3.19343,1.1125,7,396.262,53.0303,24.0784,0,0
00139841210-01,139841210,1,4,5385,4.438,0.744505,2.12639e-006,40.5037,0.125918,0.371016,2.50525,0.0160842,1,129096,165.678,2.91314,1325.58,4.01036e-005,1.45657,0.699911,4.81938,0.19028,38,28742.5,866.494,210.47,1873.6,2912.26
00139841210-02,139841210,2,4,5385,4.438,10.9787,0.00115956,9.19634,1.50481,0.0842388,83.9418,0.0967215,1,7998.34,548.669,0.971502,1335.65,0.000583693,0.0960744,0.479835,8.70829,0.83056,2,33.0613,25.0237,17.9712,764.04,80.5351
00139841210-03,139841210,3,4,5385,4.438,7.65304,0.00174792,8.13306,0.543873,0.0744992,18.17,0.0760405,1,6417.65,593.301,3.25399,1328.78,0.00157477,0.258011,0.365123,4.12533,-0.63194,4,5.04965,20.5989,15.1944,861.698,130.299
00139841210-04,139841210,4,4,5385,4.438,14.5532,0.00577958,5.83249,1.58321,0.0534258,84.6357,0.116715,1,2830.91,426.716,0.944379,1326.87,0.00327229,0.11058,0.770012,3.55405,7.44861,2,0.00024,9.62529,8.35659,695.526,55.3064
00140045537-01,140045537,1,1,8071,4.09952,20.1155,0.0168216,104.284,77.0873,0.462099,74.9988,0.181247,2.06719,236009,88602.8,2.99596,1328.48,0.00968668,0.946959,0.00780859,4.73527,0.30139,2,4.21585,9.67236,9.19352,1202.75,494.56
00140066924-01,140066924,1,1,6592.85,4.438,12.2594,0.00380888,3.34149,1.26598,0.022229,26.8048,0.128849,1.37695,542.879,86.8447,3.17424,1336.18,0.00218583,0.08802,0.469223,4.39056,0.58194,2,3.94694,7.9582,8.27062,951.007,193.31
00140068425-01,140068425,1,1,6174,4.27404,2.28137,0.000172966,4.46843,5.7522,0.0312026,21.0676,0.0358542,1.31178,1059.75,98.6267,0.725594,1327.4,0.00112456,0.0307867,0.54316,2.87919,-0.34444,12,9.1539,11.1055,5.19573,1647.86,1742.6
00140510824-01,140510824,1,2,5252.2,2.92,0.297577,9.57672e-006,3.18795,3.2984,0.0312283,2.1523,0,0.935105,1088.91,64.7069,1.01256,1325.56,0.00035121,0.0430227,0.5,10.3706,0.15169,93,39.2358,11.6889,3.18651,0,0
00140510824-02,140510824,2,2,5252.2,2.92,0.297436,3.22128e-005,5.387,8.1173,0.0527697,1.14428,0,0.935105,935.61,621.38,1.43882,1325.42,0.00152354,0.719412,0.999998,0,0.14861,94,81.0128,10.6727,3.72624,0,0
00140659980-01,140659980,1,2,5642.4,3,9.44041,0.000107267,81.31,15.9296,0.356278,16.5992,0.0474225,2.09051,53216.7,1063.25,3.99045,1328.27,0.000130789,1.99522,0.999926,233.54,4.4625,3,614.04,459.982,276.251,1653.06,1764.74
00140659980-02,140659980,2,2,5642.4,3,9.4396,0.00018723,63.7715,11.5997,0.279429,11.1515,0.0474197,2.09051,32797.4,117.644,5.20861,1332.74,0.00023694,2.60431,0.99724,8.52103,0.59167,3,45.689,236.461,137.467,1653.11,1764.94
00140758953-01,140758953,1,1,3198,4.438,8.28956,0.00372321,8.36663,1.96956,0.0766387,25.0659,0.0802003,1,6824.62,1062.1,2.57744,1331.97,0.00433456,0.206561,0.345171,2.99219,4.34305,3,0.98074,7.75194,6.56654,498.29,14.5697
00140859822-01,140859822,1,2,3186,5.02428,11.315,0.00122312,4.09387,0.781518,0.160257,76.2453,0.0587708,0.234,30125.3,1828.27,1.31526,1334.84,0.000853556,0.181736,0.0196223,5.93063,0.67639,2,0.10565,20.8513,16.2001,280.521,1.46346
00140859822-02,140859822,2,2,3186,5.02428,10.8377,0.00283509,2.01962,1.15438,0.079059,89.7957,0.0571064,0.234,7342.1,1246.98,0.994803,1335.52,0.00215017,0.0729117,0.0184125,2.02194,2.74306,2,1.51003,11.3363,9.47823,284.579,1.55001
00140940493-01,140940493,1,2,5516.25,4.50311,0.248915,1.73697e-005,2.06269,1.62562,0.0206606,2.55072,0.00767394,0.914511,443.198,47.838,0.587861,1325.39,0.000760539,0.0233247,0.695945,10.7336,0.125,112,63.3797,8.09199,3.77173,2657.18,11781.6
00140940493-02,140940493,2,2,5516.25,4.50311,0.24905,1.28521e-005,2.35666,1.87487,0.0236051,2.05141,0.00767673,0.914511,632.775,41.7048,0.915072,1325.51,0.000573674,0.0278138,0.432594,0.24106,0.0802,112,95.5779,11.5621,3.7058,2656.7,11773.1
00141268467-01,141268467,1,3,6435,3.98035,2.09108,-1,61.9399,-1,0.293601,10.329,0.0349618,1.93246,0,0,2,1326.45,-1,0.458807,0.1,3.51609,0.21389,0,40721.5,6198.27,2143.99,2111.05,4693.72
